Date,Province/State,Country,Confirmed,Deaths,Recovered,dayCount
01/24/2020,Hunan,Mainland China,24.0,0.0,0.0,2
01/24/2020,Beijing,Mainland China,36.0,0.0,1.0,2
01/24/2020,Shanghai,Mainland China,20.0,0.0,1.0,2
01/24/2020,Jiangxi,Mainland China,18.0,0.0,0.0,2
01/24/2020,Sichuan,Mainland China,15.0,0.0,0.0,2
01/24/2020,Shandong,Mainland China,15.0,0.0,0.0,2
01/24/2020,Anhui,Mainland China,15.0,0.0,0.0,2
01/24/2020,Guangxi,Mainland China,23.0,0.0,0.0,2
01/25/2020,Inner Mongolia,Mainland China,7.0,0.0,0.0,3
01/25/2020,Shaanxi,Mainland China,15.0,0.0,0.0,3
01/25/2020,Yunnan,Mainland China,11.0,0.0,0.0,3
01/25/2020,Tianjin,Mainland China,10.0,0.0,0.0,3
01/25/2020,Hebei,Mainland China,8.0,1.0,0.0,3
01/25/2020,Shanxi,Mainland China,6.0,0.0,0.0,3
01/25/2020,Liaoning,Mainland China,17.0,0.0,0.0,3
01/25/2020,Jilin,Mainland China,4.0,0.0,0.0,3
01/25/2020,Gansu,Mainland China,4.0,0.0,0.0,3
01/25/2020,Ningxia,Mainland China,3.0,0.0,0.0,3
01/25/2020,Xinjiang,Mainland China,3.0,0.0,0.0,3
01/25/2020,Qinghai,Mainland China,1.0,0.0,0.0,3
01/25/2020,Guizhou,Mainland China,4.0,0.0,0.0,3
01/25/2020,Jiangsu,Mainland China,18.0,0.0,1.0,3
01/25/2020,Heilongjiang,Mainland China,9.0,1.0,0.0,3
01/25/2020,Jiangxi,Mainland China,18.0,0.0,0.0,3
01/25/2020,Hubei,Mainland China,761.0,40.0,32.0,3
01/25/2020,Guangdong,Mainland China,78.0,0.0,2.0,3
01/25/2020,Zhejiang,Mainland China,62.0,0.0,1.0,3
01/25/2020,Chongqing,Mainland China,57.0,0.0,0.0,3
01/25/2020,Hunan,Mainland China,43.0,0.0,0.0,3
01/25/2020,Beijing,Mainland China,41.0,0.0,2.0,3
01/25/2020,Anhui,Mainland China,39.0,0.0,0.0,3
01/25/2020,Fujian,Mainland China,18.0,0.0,0.0,3
01/25/2020,Henan,Mainland China,32.0,0.0,0.0,3
01/25/2020,Sichuan,Mainland China,28.0,0.0,0.0,3
01/25/2020,Shandong,Mainland China,27.0,0.0,0.0,3
01/25/2020,Guangxi,Mainland China,23.0,0.0,0.0,3
01/25/2020,Hainan,Mainland China,19.0,0.0,0.0,3
01/25/2020,Shanghai,Mainland China,33.0,0.0,1.0,3
01/26/2020,Liaoning,Mainland China,21.0,0.0,0.0,4
01/26/2020,Yunnan,Mainland China,16.0,0.0,0.0,4
01/26/2020,Tianjin,Mainland China,14.0,0.0,0.0,4
01/26/2020,Hebei,Mainland China,13.0,1.0,0.0,4
01/26/2020,Shanxi,Mainland China,9.0,0.0,0.0,4
01/26/2020,Guizhou,Mainland China,5.0,0.0,0.0,4
01/26/2020,Gansu,Mainland China,7.0,0.0,0.0,4
01/26/2020,Shaanxi,Mainland China,22.0,0.0,0.0,4
01/26/2020,Ningxia,Mainland China,4.0,0.0,0.0,4
01/26/2020,Jilin,Mainland China,4.0,0.0,0.0,4
01/26/2020,Xinjiang,Mainland China,4.0,0.0,0.0,4
01/26/2020,Qinghai,Mainland China,1.0,0.0,0.0,4
01/26/2020,Inner Mongolia,Mainland China,7.0,0.0,0.0,4
01/26/2020,Hainan,Mainland China,22.0,0.0,0.0,4
01/26/2020,Heilongjiang,Mainland China,15.0,1.0,0.0,4
01/26/2020,Fujian,Mainland China,35.0,0.0,0.0,4
01/26/2020,Hubei,Mainland China,1058.0,52.0,42.0,4
01/26/2020,Guangdong,Mainland China,111.0,0.0,2.0,4
01/26/2020,Zhejiang,Mainland China,104.0,0.0,1.0,4
01/26/2020,Henan,Mainland China,83.0,1.0,0.0,4
01/26/2020,Chongqing,Mainland China,75.0,0.0,0.0,4
01/26/2020,Hunan,Mainland China,69.0,0.0,0.0,4
01/26/2020,Jiangsu,Mainland China,33.0,0.0,1.0,4
01/26/2020,Anhui,Mainland China,60.0,0.0,0.0,4
01/26/2020,Shandong,Mainland China,46.0,0.0,0.0,4
01/26/2020,Sichuan,Mainland China,44.0,0.0,0.0,4
01/26/2020,Shanghai,Mainland China,40.0,1.0,1.0,4
01/26/2020,Guangxi,Mainland China,36.0,0.0,0.0,4
01/26/2020,Jiangxi,Mainland China,36.0,0.0,0.0,4
01/26/2020,Beijing,Mainland China,68.0,0.0,2.0,4
01/27/2020,Hainan,Mainland China,33.0,1.0,0.0,5
01/27/2020,Liaoning,Mainland China,27.0,0.0,0.0,5
01/27/2020,Yunnan,Mainland China,26.0,0.0,0.0,5
01/27/2020,Tianjin,Mainland China,23.0,0.0,0.0,5
01/27/2020,Heilongjiang,Mainland China,21.0,1.0,0.0,5
01/27/2020,Hebei,Mainland China,18.0,1.0,0.0,5
01/27/2020,Guizhou,Mainland China,7.0,0.0,0.0,5
01/27/2020,Shanxi,Mainland China,13.0,0.0,0.0,5
01/27/2020,Inner Mongolia,Mainland China,11.0,0.0,0.0,5
01/27/2020,Ningxia,Mainland China,7.0,0.0,0.0,5
01/27/2020,Jilin,Mainland China,6.0,0.0,0.0,5
01/27/2020,Qinghai,Mainland China,6.0,0.0,0.0,5
01/27/2020,Shaanxi,Mainland China,35.0,0.0,0.0,5
01/27/2020,Gansu,Mainland China,14.0,0.0,0.0,5
01/27/2020,Xinjiang,Mainland China,5.0,0.0,0.0,5
01/27/2020,Guangxi,Mainland China,46.0,0.0,0.0,5
01/27/2020,Shanghai,Mainland China,53.0,1.0,3.0,5
01/27/2020,Hubei,Mainland China,1423.0,76.0,45.0,5
01/27/2020,Guangdong,Mainland China,151.0,0.0,4.0,5
01/27/2020,Zhejiang,Mainland China,128.0,0.0,1.0,5
01/27/2020,Henan,Mainland China,128.0,1.0,0.0,5
01/27/2020,Chongqing,Mainland China,110.0,0.0,0.0,5
01/27/2020,Hunan,Mainland China,100.0,0.0,0.0,5
01/27/2020,Jiangsu,Mainland China,47.0,0.0,1.0,5
01/27/2020,Shandong,Mainland China,75.0,0.0,0.0,5
01/27/2020,Jiangxi,Mainland China,72.0,0.0,2.0,5
01/27/2020,Anhui,Mainland China,70.0,0.0,0.0,5
01/27/2020,Sichuan,Mainland China,69.0,0.0,0.0,5
01/27/2020,Fujian,Mainland China,59.0,0.0,0.0,5
01/27/2020,Beijing,Mainland China,80.0,1.0,2.0,5
01/28/2020,Yunnan,Mainland China,44.0,0.0,0.0,6
01/28/2020,Hainan,Mainland China,40.0,1.0,0.0,6
01/28/2020,Liaoning,Mainland China,34.0,0.0,0.0,6
01/28/2020,Hebei,Mainland China,33.0,1.0,0.0,6
01/28/2020,Heilongjiang,Mainland China,33.0,1.0,0.0,6
01/28/2020,Shanxi,Mainland China,27.0,0.0,0.0,6
01/28/2020,Inner Mongolia,Mainland China,15.0,0.0,0.0,6
01/28/2020,Gansu,Mainland China,19.0,0.0,0.0,6
01/28/2020,Ningxia,Mainland China,11.0,0.0,0.0,6
01/28/2020,Xinjiang,Mainland China,10.0,0.0,0.0,6
01/28/2020,Guizhou,Mainland China,9.0,0.0,0.0,6
01/28/2020,Shaanxi,Mainland China,46.0,0.0,0.0,6
