,dayCount,Country,Confirmed
263,33,Mainland China,77152.0
264,33,Spain,259.0
265,33,US,53.0
266,34,France,38.0
267,34,Germany,159.0
268,34,Italy,3858.0
269,34,Mainland China,77660.0
270,34,Spain,400.0
271,34,US,53.0
272,35,France,57.0
273,35,Germany,196.0
274,35,Italy,4636.0
275,35,Mainland China,78065.0
276,35,Spain,500.0
277,35,US,59.0
278,36,France,100.0
279,36,Germany,262.0
280,36,Italy,5883.0
281,36,Mainland China,78498.0
282,36,Spain,673.0
283,36,US,60.0
284,37,France,130.0
285,37,Germany,482.0
286,37,Italy,7375.0
287,37,Mainland China,78824.0
288,37,Spain,1073.0
289,37,US,62.0
290,38,France,191.0
291,38,Germany,670.0
292,38,Italy,9172.0
293,38,Mainland China,79251.0
294,38,Spain,1695.0
295,38,US,70.0
296,39,France,204.0
297,39,Germany,799.0
298,39,Italy,10149.0
299,39,Mainland China,79826.0
300,39,Spain,2277.0
301,39,US,76.0
302,40,France,285.0
303,40,Germany,1040.0
304,40,Italy,12462.0
305,40,Mainland China,80026.0
306,40,Spain,2277.0
307,40,US,101.0
308,41,France,377.0
309,41,Germany,1176.0
310,41,Italy,12462.0
311,41,Mainland China,80151.0
312,41,Spain,5232.0
313,41,US,122.0
314,42,France,653.0
315,42,Germany,1457.0
316,42,Italy,17660.0
317,42,Mainland China,80271.0
318,42,Spain,6391.0
319,42,US,153.0
320,43,France,949.0
321,43,Germany,1908.0
322,43,Italy,21157.0
323,43,Mainland China,80422.0
324,43,Spain,7798.0
325,43,US,221.0
326,44,France,1126.0
327,44,Germany,2078.0
328,44,Italy,24747.0
329,44,Mainland China,80573.0
330,44,Spain,9942.0
331,44,US,278.0
332,45,France,1209.0
333,45,Germany,3675.0
334,45,Italy,27980.0
335,45,Mainland China,80652.0
336,45,Spain,11748.0
337,45,US,417.0
338,46,France,1784.0
339,46,Germany,4585.0
340,46,Italy,31506.0
341,46,Mainland China,80699.0
342,46,Spain,13910.0
343,46,US,537.0
344,47,France,2284.0
345,47,Germany,5795.0
346,47,Italy,35713.0
347,47,Mainland China,80735.0
348,47,Spain,17963.0
349,47,US,605.0
350,48,France,2284.0
351,48,Germany,7272.0
352,48,Italy,41035.0
353,48,Mainland China,80757.0
354,48,Spain,20410.0
355,48,US,959.0
356,49,France,3667.0
357,49,Germany,9257.0
358,49,Italy,47021.0
359,49,Mainland China,80785.0
360,49,Spain,25374.0
361,49,US,1281.0
362,50,France,4480.0
363,50,Germany,12327.0
364,50,Italy,53578.0
365,50,Mainland China,80793.0
366,50,Spain,28768.0
367,50,US,1663.0
368,51,France,4513.0
369,51,Germany,15320.0
370,51,Italy,59138.0
371,51,Mainland China,80801.0
372,51,Spain,35136.0
373,51,US,2179.0
374,52,France,6650.0
375,52,Germany,19848.0
376,52,Italy,63927.0
377,52,Mainland China,80827.0
378,52,US,2726.0
379,53,France,7683.0
380,53,Germany,22213.0
381,53,Mainland China,80848.0
382,53,US,3499.0
383,54,France,9052.0
384,54,Germany,24873.0
385,54,Mainland China,80867.0
386,54,US,4632.0
387,55,France,10886.0
388,55,Germany,29056.0
389,55,Mainland China,80884.0
390,55,US,6421.0
391,56,France,12632.0
392,56,Mainland China,80906.0
393,56,US,7786.0
394,57,France,14308.0
395,57,Mainland China,80931.0
396,57,US,13680.0
397,58,France,16044.0
398,58,Mainland China,80977.0
399,58,US,19101.0
400,59,France,20123.0
401,59,Mainland China,81014.0
402,59,US,25493.0
403,60,Mainland China,81060.0
404,60,US,33276.0
405,61,Mainland China,81116.0
406,61,US,43667.0
